seed,method,preset,timesteps_per_stage,episodes,success_rate,budget_exhaustion_rate,mean_return,mean_cumulative_cost,mean_final_distance,mean_embedding_risk,max_embedding_risk,mean_active_embedding_risk,eval_csv
0,baseline_ppo,prototype,8192,50,0.04,0.96,-42.007931644472464,1.9685163690805436,0.6450562405586243,0.3038611621457633,0.5742081138979563,0.05063071358290509,outputs\embedding_risk_multiseed_curriculum\seed_0\baseline_ppo_prototype_eval.csv
0,baseline_ppo,strict,8192,50,0.0,1.0,-57.350356405933965,1.0039428337574006,0.6515775859355927,0.3690490350281235,0.5575474943413914,0.01981089204886212,outputs\embedding_risk_multiseed_curriculum\seed_0\baseline_ppo_strict_eval.csv
0,embedding_risk_reward_ppo,prototype,8192,50,0.02,0.98,-47.906863954001835,2.0095073533058168,0.7272969677299261,0.31505054533115034,0.6280887543490635,0.032512807373829326,outputs\embedding_risk_multiseed_curriculum\seed_0\embedding_risk_reward_ppo_prototype_eval.csv
0,embedding_risk_reward_ppo,strict,8192,50,0.0,1.0,-82.3037140435754,1.0,1.4330396926403046,0.44395920610512457,0.5736352109952325,0.05183895242133441,outputs\embedding_risk_multiseed_curriculum\seed_0\embedding_risk_reward_ppo_strict_eval.csv
0,embedding_curriculum_finetune_ppo,prototype,8192,50,0.06,0.94,-27.17837814148576,1.9604712577104573,0.6287951019406318,0.428984445392785,0.5762470399010899,0.06050265709719464,outputs\embedding_risk_multiseed_curriculum\seed_0\embedding_curriculum_finetune_ppo_prototype_eval.csv
0,embedding_curriculum_finetune_ppo,strict,8192,50,0.0,1.0,-28.742879853926638,1.1081263706207276,0.6896080690622329,0.4712058949659511,0.5782022527066114,0.03869419869988402,outputs\embedding_risk_multiseed_curriculum\seed_0\embedding_curriculum_finetune_ppo_strict_eval.csv
1,baseline_ppo,prototype,8192,50,0.1,0.9,-31.60835515454713,1.8297533542871474,0.6671442233771085,0.35386806071399557,0.5599471359864299,0.05136136070781963,outputs\embedding_risk_multiseed_curriculum\seed_1\baseline_ppo_prototype_eval.csv
1,baseline_ppo,strict,8192,50,0.0,1.0,-41.45533649798965,1.056211285686493,0.661219190955162,0.39040461235647855,0.5525512091320026,0.015311744226377443,outputs\embedding_risk_multiseed_curriculum\seed_1\baseline_ppo_strict_eval.csv
1,embedding_risk_reward_ppo,prototype,8192,50,0.0,1.0,-37.301990345252854,2.0043888618946073,0.7462625074386596,0.3322142391352962,0.5850398218935886,0.04998295991392336,outputs\embedding_risk_multiseed_curriculum\seed_1\embedding_risk_reward_ppo_prototype_eval.csv
1,embedding_risk_reward_ppo,strict,8192,50,0.08,0.92,-54.95443383365199,0.9913659009456635,0.660540993064642,0.37383324375997373,0.5497294724413044,0.007654043027845718,outputs\embedding_risk_multiseed_curriculum\seed_1\embedding_risk_reward_ppo_strict_eval.csv
1,embedding_curriculum_finetune_ppo,prototype,8192,50,0.02,0.98,-30.986398748402195,2.0185612590909003,0.748074844405055,0.416779708631123,0.5794428361476918,0.0665411976620132,outputs\embedding_risk_multiseed_curriculum\seed_1\embedding_curriculum_finetune_ppo_prototype_eval.csv
1,embedding_curriculum_finetune_ppo,strict,8192,50,0.0,1.0,-34.44976542960604,1.0958264592170714,0.6779115855693817,0.46481387923607803,0.5751438312938817,0.014552796188272854,outputs\embedding_risk_multiseed_curriculum\seed_1\embedding_curriculum_finetune_ppo_strict_eval.csv
2,baseline_ppo,prototype,8192,50,0.0,1.0,-49.33280365640456,2.0084500845432283,0.7484285390377045,0.3182087257772245,0.5935811312656577,0.03357666193741385,outputs\embedding_risk_multiseed_curriculum\seed_2\baseline_ppo_prototype_eval.csv
2,baseline_ppo,strict,8192,50,0.0,1.0,-74.14638194003986,1.0,1.2218586599826813,0.42913955116383923,0.5607570544353099,0.02968526368682467,outputs\embedding_risk_multiseed_curriculum\seed_2\baseline_ppo_strict_eval.csv
2,embedding_risk_reward_ppo,prototype,8192,50,0.0,1.0,-49.90332002281839,2.0047517585754395,0.68931958258152,0.32396571865912877,0.586450237301293,0.04079551903318574,outputs\embedding_risk_multiseed_curriculum\seed_2\embedding_risk_reward_ppo_prototype_eval.csv
2,embedding_risk_reward_ppo,strict,8192,50,0.0,1.0,-82.27663055952905,1.0086149251937866,0.8573562943935394,0.3865200676706552,0.5536080311199412,0.011321951467496472,outputs\embedding_risk_multiseed_curriculum\seed_2\embedding_risk_reward_ppo_strict_eval.csv
2,embedding_curriculum_finetune_ppo,prototype,8192,50,0.04,0.96,-27.731289470100904,1.9132146583080294,0.7359830830991269,0.4328566472311718,0.5781746486696269,0.06855834893404256,outputs\embedding_risk_multiseed_curriculum\seed_2\embedding_curriculum_finetune_ppo_prototype_eval.csv
2,embedding_curriculum_finetune_ppo,strict,8192,50,0.0,1.0,-33.4138637623804,1.0755610750675202,0.7243232333660126,0.44220849010263785,0.5730822735607718,0.04339405989267193,outputs\embedding_risk_multiseed_curriculum\seed_2\embedding_curriculum_finetune_ppo_strict_eval.csv
