pilot,method,preset,timesteps,episodes,success_rate,budget_exhaustion_rate,mean_return,mean_cumulative_cost,mean_final_distance,mean_embedding_risk,max_embedding_risk,eval_csv,mean_active_embedding_risk
continuous_t075,baseline_ppo,prototype,8192,40,0.025,0.975,-52.29619508384637,2.01064546135068,0.6497300889343023,0.3031941932850489,0.5719812589589977,outputs\embedding_risk_training_pilot\baseline_ppo_prototype_eval.csv,
continuous_t075,baseline_ppo,strict,8192,40,0.0,1.0,-73.48843007121057,1.0,0.6401372037827968,0.3687902593675234,0.5582025115062562,outputs\embedding_risk_training_pilot\baseline_ppo_strict_eval.csv,
continuous_t075,embedding_risk_ppo,prototype,8192,40,0.075,0.925,-50.25253686589208,1.922534852385521,0.6877001100219786,0.3288765507486375,0.5692582862411155,outputs\embedding_risk_training_pilot\embedding_risk_ppo_prototype_eval.csv,
continuous_t075,embedding_risk_ppo,strict,8192,40,0.0,1.0,-64.75466760110676,1.0,0.9369567401707172,0.3798902316586277,0.5610938020904879,outputs\embedding_risk_training_pilot\embedding_risk_ppo_strict_eval.csv,
continuous_t025,baseline_ppo,prototype,8192,40,0.025,0.975,-45.26561860238296,2.01064546135068,0.6497300889343023,0.3031941932850489,0.5719812589589977,outputs\embedding_risk_training_pilot_t025\baseline_ppo_prototype_eval.csv,
continuous_t025,baseline_ppo,strict,8192,40,0.0,1.0,-62.95118676648726,1.0,0.6401372037827968,0.3687902593675234,0.5582025115062562,outputs\embedding_risk_training_pilot_t025\baseline_ppo_strict_eval.csv,
continuous_t025,embedding_risk_ppo,prototype,8192,40,0.0,1.0,-58.37611018945438,2.0037650274634364,0.7225352816283703,0.3318903146516111,0.5960380771275329,outputs\embedding_risk_training_pilot_t025\embedding_risk_ppo_prototype_eval.csv,
continuous_t025,embedding_risk_ppo,strict,8192,40,0.025,0.925,-101.37654559896951,0.9276282045245172,0.5134473321959376,0.4035655338947865,0.5469969382721349,outputs\embedding_risk_training_pilot_t025\embedding_risk_ppo_strict_eval.csv,
thresholded_t075_thr055,baseline_ppo,prototype,8192,40,0.025,0.975,-41.8484675479794,2.01064546135068,0.6497300889343023,0.3031941932850489,0.5719812589589977,outputs\embedding_risk_training_pilot_thresholded\baseline_ppo_prototype_eval.csv,0.0478111876059793
thresholded_t075_thr055,baseline_ppo,strict,8192,40,0.0,1.0,-57.70074793550541,1.0,0.6401372037827968,0.3687902593675234,0.5582025115062562,outputs\embedding_risk_training_pilot_thresholded\baseline_ppo_strict_eval.csv,0.0199392353809179
thresholded_t075_thr055,embedding_risk_ppo,prototype,8192,40,0.0,1.0,-40.42418050468895,2.055950908094645,0.6482324905693531,0.2981838421458715,0.559439057230863,outputs\embedding_risk_training_pilot_thresholded\embedding_risk_ppo_prototype_eval.csv,0.0164483366280168
thresholded_t075_thr055,embedding_risk_ppo,strict,8192,40,0.0,1.0,-57.2646227879665,1.0485491176247597,0.6513171218335628,0.3693085768185793,0.5444101154927946,outputs\embedding_risk_training_pilot_thresholded\embedding_risk_ppo_strict_eval.csv,0.0002771185209633
