method,preset,seed,policy,episodes,success_rate,budget_exhaustion_rate,mean_cumulative_cost,mean_final_distance,mean_interventions,intervention_rate,mean_tangent_corrections,tangent_correction_rate,mean_gate_activations,gate_activation_rate,false_intervention_rate,mean_risk_score,max_risk_score
unshielded,prototype,0,ppo,100,0.1,0.9,1.8126403097867965,0.7416591704636812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,prototype,0,ppo,100,0.12,0.0,0.0,0.7429681771621108,145.88,1.0,69.46,0.43695690023577954,0.0,0.0,0.5630430997642205,nan,nan
risk_gated_tangent,prototype,0,ppo,100,0.12,0.0,0.0,0.7429681771621108,72.46,0.46463015332826935,69.46,0.43695690023577954,72.46,0.46463015332826935,0.02767325309248968,0.3518759022368284,0.6839067044913771
unshielded,prototype,1,ppo,100,0.09,0.89,1.7937368701040746,0.7006476525217294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,prototype,1,ppo,100,0.12,0.0,0.0,0.7251657870411873,146.8,1.0,64.63,0.4054415986790987,0.0,0.0,0.5945584013209013,nan,nan
risk_gated_tangent,prototype,1,ppo,100,0.12,0.0,0.0,0.7251657870411873,67.59,0.4321356003473651,64.63,0.4054415986790987,67.59,0.4321356003473651,0.026694001668266375,0.3280675142287205,0.6780708886623384
unshielded,prototype,2,ppo,100,0.06,0.93,1.9646835026919842,0.72524793908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,prototype,2,ppo,100,0.08,0.0,0.0,0.7537277293205261,150.79,1.0,68.06,0.42618007631055077,0.0,0.0,0.5738199236894492,nan,nan
risk_gated_tangent,prototype,2,ppo,100,0.08,0.0,0.0,0.7537277293205261,71.08,0.45258840527579863,68.06,0.42618007631055077,71.08,0.45258840527579863,0.026408328965247915,0.3426244801858445,0.690134457844496
unshielded,strict,0,ppo,100,0.01,0.99,1.085017480993271,0.7000091641768813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,strict,0,ppo,100,0.02,0.0,0.0,0.6594110176712275,118.21,1.0,48.14,0.40139583333333334,0.0,0.0,0.5986041666666666,nan,nan
risk_gated_tangent,strict,0,ppo,100,0.02,0.0,0.0,0.6594110176712275,51.5,0.4313261494252874,48.14,0.40139583333333334,51.5,0.4313261494252874,0.02993031609195402,0.33115789021746317,0.6985000000000002
unshielded,strict,1,ppo,100,0.01,0.97,1.0703395426511764,0.7250638347864151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,strict,1,ppo,100,0.01,0.0,0.0,0.6438667404651642,119.16,1.0,46.63,0.38858333333333334,0.0,0.0,0.6114166666666666,nan,nan
risk_gated_tangent,strict,1,ppo,100,0.01,0.0,0.0,0.6438667404651642,50.09,0.4174166666666666,46.63,0.38858333333333334,50.09,0.4174166666666666,0.028833333333333325,0.3208815319588346,0.6937366482794286
unshielded,strict,2,ppo,100,0.02,0.97,1.073036114907265,0.7217963856458663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
always_tangent,strict,2,ppo,100,0.02,0.0,0.0,0.6190379306674003,118.25,1.0,47.7,0.3975,0.0,0.0,0.6025,nan,nan
risk_gated_tangent,strict,2,ppo,100,0.02,0.0,0.0,0.6190379306674003,51.18,0.4285181992337165,47.7,0.3975,51.18,0.4285181992337165,0.031018199233716466,0.3288234439735768,0.6985000000000001
