task,seed,step,phase,route,monitor_trigger,success,distance,progress,initial_distance,min_distance,final_distance_so_far,reward,action_norm,oracle_action_norm
NeedlePick,43123,0,fault_start,perturbed_action_freeze,0.0,0.0,0.1863457127230418,7.370081849863985e-05,0.18641941354154043,0.1863457127230418,0.1863457127230418,-1.0,0.0,0.7579169273376465
NeedlePick,43123,1,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634453427403577,1.1784490060173791e-06,0.18641941354154043,0.18634453427403577,0.18634453427403577,-1.0,0.0,0.7579171657562256
NeedlePick,43123,2,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445379625713,-3.6885355325644298e-09,0.18641941354154043,0.18634453427403577,0.1863445379625713,-1.0,0.0,0.7579175233840942
NeedlePick,43123,3,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445416511071,-3.6885357823646103e-09,0.18641941354154043,0.18634453427403577,0.1863445416511071,-1.0,0.0,0.7579177021980286
NeedlePick,43123,4,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634454533964306,-3.6885359766536396e-09,0.18641941354154043,0.18634453427403577,0.18634454533964306,-1.0,0.0,0.7579179406166077
NeedlePick,43123,5,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445490281793,-3.68853622645382e-09,0.18641941354154043,0.18634453427403577,0.1863445490281793,-1.0,0.0,0.7579182982444763
NeedlePick,43123,6,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445490281793,0.0,0.18641941354154043,0.18634453427403577,0.1863445490281793,-1.0,0.0,0.7579185366630554
NeedlePick,43123,7,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634455271671574,-3.688536448498425e-09,0.18641941354154043,0.18634453427403577,0.18634455271671574,-1.0,0.0,0.7579187750816345
NeedlePick,43123,8,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445564052524,-3.68853667054303e-09,0.18641941354154043,0.18634453427403577,0.1863445564052524,-1.0,0.0,0.7579190135002136
NeedlePick,43123,9,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634456009378927,-3.6885368648320593e-09,0.18641941354154043,0.18634453427403577,0.18634456009378927,-1.0,0.0,0.7579192519187927
NeedlePick,43123,10,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634456009378927,0.0,0.18641941354154043,0.18634453427403577,0.18634456009378927,-1.0,0.0,0.7579195499420166
NeedlePick,43123,11,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634456378232642,-3.6885371423878155e-09,0.18641941354154043,0.18634453427403577,0.18634456378232642,-1.0,0.0,0.7579197883605957
NeedlePick,43123,12,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634456747086375,-3.688537336676845e-09,0.18641941354154043,0.18634453427403577,0.18634456747086375,-1.0,0.0,0.7579200267791748
NeedlePick,43123,13,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445711594013,-3.6885375587214497e-09,0.18641941354154043,0.18634453427403577,0.1863445711594013,-1.0,0.0,0.7579203248023987
NeedlePick,43123,14,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.1863445711594013,0.0,0.18641941354154043,0.18634453427403577,0.1863445711594013,-1.0,0.0,0.7579205632209778
NeedlePick,43123,15,fault_action_freeze,perturbed_action_freeze,0.0,0.0,0.18634457484793912,-3.6885378085216303e-09,0.18641941354154043,0.18634453427403577,0.18634457484793912,-1.0,0.0,0.7579208016395569
