task,step,goal_distance,success
NeedleReach,0,0.4359538293335739,0.0
NeedleReach,1,0.4150958232487478,0.0
NeedleReach,2,0.39423802502788974,0.0
NeedleReach,3,0.3733802193046332,0.0
NeedleReach,4,0.35252239047484557,0.0
NeedleReach,5,0.33166471374061046,0.0
NeedleReach,6,0.31080703517408825,0.0
NeedleReach,7,0.2899494448574732,0.0
NeedleReach,8,0.26909181581654246,0.0
NeedleReach,9,0.24823425905869595,0.0
NeedleReach,10,0.2273768277855338,0.0
NeedleReach,11,0.20651949539541212,0.0
NeedleReach,12,0.18566222003224933,0.0
NeedleReach,13,0.16480523781904297,0.0
NeedleReach,14,0.14394833965255044,0.0
NeedleReach,15,0.12309155820327759,0.0
NeedleReach,16,0.1022346984122829,0.0
NeedleReach,17,0.08137829765129113,0.0
NeedleReach,18,0.06052211688718315,0.0
NeedleReach,19,0.03966598065127534,0.0
NeedleReach,20,0.01881055981161055,1.0
