task,failure_mode,episode,failure_label,risk_score,detected,distance_risk,safety_risk,intervention_risk,delay_risk,success,detection_delay,split,learned_risk_score
navigation,none,0,0.0,0.012404334659759814,0.0,0.06891297033199897,0.0,0.0,0.0,1.0,0.0,train,0.0005779540319978835
navigation,none,1,0.0,0.011335442387140715,0.0,0.06297467992855953,0.0,0.0,0.0,1.0,0.0,eval,0.0005781517562951019
navigation,none,2,0.0,0.017958443669172434,0.0,0.09976913149540241,0.0,0.0,0.0,1.0,0.0,train,0.0005769277171759894
navigation,none,3,0.0,0.018449873878405642,0.0,0.1024992993244758,0.0,0.0,0.0,1.0,0.0,eval,0.0005768369961105701
navigation,none,4,0.0,0.015077933783714588,0.0,0.08376629879841438,0.0,0.0,0.0,1.0,0.0,train,0.0005774597639972129
navigation,none,5,0.0,0.07739422656022585,0.0,0.09663459200125474,0.0,1.0,0.0,1.0,0.0,eval,0.00010503701638125893
navigation,none,6,0.0,0.060425705840954407,0.0,0.09412225049275617,0.0,0.7247283458709717,0.0,1.0,0.0,train,0.00016791758379744874
navigation,none,7,0.0,0.011670818581030917,0.0,0.06483788100572732,0.0,0.0,0.0,1.0,0.0,eval,0.0005780897109400132
navigation,none,8,0.0,0.07226946081106479,0.0,0.06816367117258218,0.0,1.0,0.0,1.0,0.0,train,0.00010520949557506502
navigation,none,9,0.0,0.07317008676437231,0.0,0.07316714869095729,0.0,1.0,0.0,1.0,0.0,eval,0.00010517916359635173
navigation,none,10,0.0,0.07733964567001049,0.0,0.09633136483339162,0.0,1.0,0.0,1.0,0.0,train,0.00010503885186614042
navigation,none,11,0.0,0.07573226486261074,0.0,0.08740147145894857,0.0,1.0,0.0,1.0,0.0,eval,0.00010509292038961755
navigation,none,12,0.0,0.0585256109020383,0.0,0.0957466375369292,0.0,0.6881869357565175,0.0,1.0,0.0,train,0.00017868733292110986
navigation,none,13,0.0,0.017319898421947772,0.0,0.09622165789970985,0.0,0.0,0.0,1.0,0.0,eval,0.0005770456178923942
navigation,none,14,0.0,0.01494800757903319,0.0,0.0830444865501844,0.0,0.0,0.0,1.0,0.0,train,0.0005774837736726751
navigation,none,15,0.0,0.06263877153396605,0.0,0.07659971714019775,0.0,0.8141803741455077,0.0,1.0,0.0,eval,0.00014432611692354437
navigation,none,16,0.0,0.013405423783338987,0.0,0.07447457657410549,0.0,0.0,0.0,1.0,0.0,train,0.0005777689112529769
navigation,none,17,0.0,0.05471055610821797,0.0,0.07566394141087165,0.0,0.684850777571018,0.0,1.0,0.0,eval,0.00017991396539656496
navigation,none,18,0.0,0.07842924562784341,0.0,0.10238469793246342,0.0,1.0,0.0,1.0,0.0,train,0.00010500221609574675
navigation,none,19,0.0,0.0660411564203409,0.0,0.08892458218794602,0.0,0.833912193775177,0.0,1.0,0.0,eval,0.00013945553871021793
navigation,none,20,0.0,0.07721546351909638,0.0,0.09564146399497986,0.0,1.0,0.0,1.0,0.0,train,0.00010504302807106678
navigation,none,21,0.0,0.01827089419731727,0.0,0.10150496776287372,0.0,0.0,0.0,1.0,0.0,eval,0.0005768700352192288
navigation,none,22,0.0,0.013811152256452118,0.0,0.07672862364695622,0.0,0.0,0.0,1.0,0.0,train,0.0005776939010863678
navigation,none,23,0.0,0.07614882017557437,0.0,0.08971566764207986,0.0,1.0,0.0,1.0,0.0,eval,0.00010507890577421271
navigation,none,24,0.0,0.018435713878044713,0.0,0.10242063265580396,0.0,0.0,0.0,1.0,0.0,train,0.000576839609934985
navigation,none,25,0.0,0.07467613371518941,0.0,0.08153407619549678,0.0,1.0,0.0,1.0,0.0,eval,0.00010512846131499198
navigation,none,26,0.0,0.014395697414875029,0.0,0.07997609674930573,0.0,0.0,0.0,1.0,0.0,train,0.0005775858488055166
navigation,none,27,0.0,0.017760160336127647,0.0,0.09866755742293137,0.0,0.0,0.0,1.0,0.0,eval,0.000576964325546787
navigation,none,28,0.0,0.06595591249374243,0.0,0.1068912331874554,0.0,0.7785915086666743,0.0,1.0,0.0,train,0.00015308086323448277
navigation,none,29,0.0,0.011624788779478805,0.0,0.06458215988599336,0.0,0.0,0.0,1.0,0.0,eval,0.0005780982261634932
navigation,none,30,0.0,0.07404705976064388,0.0,0.07803922089246602,0.0,1.0,0.0,1.0,0.0,train,0.00010514963662264752
navigation,none,31,0.0,0.01824291875729194,0.0,0.10134954865162189,0.0,0.0,0.0,1.0,0.0,eval,0.0005768751995718867
navigation,none,32,0.0,0.015462860694298376,0.0,0.08590478163499098,0.0,0.0,0.0,1.0,0.0,train,0.0005773886373960624
navigation,none,33,0.0,0.011077386026199046,0.0,0.061541033478883594,0.0,0.0,0.0,1.0,0.0,eval,0.0005781995018367039
navigation,none,34,0.0,0.07330021000825442,0.0,0.07389005560141343,0.0,1.0,0.0,1.0,0.0,train,0.00010517478192789603
navigation,none,35,0.0,0.013019096965973193,0.0,0.07232831647762886,0.0,0.0,0.0,1.0,0.0,eval,0.0005778403435320544
navigation,none,36,0.0,0.014171829934303578,0.0,0.07873238852390876,0.0,0.0,0.0,1.0,0.0,train,0.0005776272279810904
navigation,none,37,0.0,0.019319330499722405,0.0,0.1073296138873467,0.0,0.0,0.0,1.0,0.0,eval,0.000576676523949759
navigation,none,38,0.0,0.07342921807215763,0.0,0.07460676706754243,0.0,1.0,0.0,1.0,0.0,train,0.00010517043799131701
navigation,none,39,0.0,0.07163838861080316,0.0,0.06465771450446202,0.0,1.0,0.0,1.0,0.0,eval,0.00010523075452492718
navigation,none,40,0.0,0.07798410621973184,0.0,0.09991170122073247,0.0,1.0,0.0,1.0,0.0,train,0.00010501718153587586
navigation,none,41,0.0,0.017122997458164507,0.0,0.0951277636564695,0.0,0.0,0.0,1.0,0.0,eval,0.0005770819784578909
navigation,none,42,0.0,0.01802619626888862,0.0,0.100145534827159,0.0,0.0,0.0,1.0,0.0,train,0.0005769152087783385
navigation,none,43,0.0,0.07523016668283022,0.0,0.08461203712683457,0.0,1.0,0.0,1.0,0.0,eval,0.00010510981549918306
navigation,none,44,0.0,0.017602479457855223,0.0,0.09779155254364014,0.0,0.0,0.0,1.0,0.0,train,0.0005769934392829852
navigation,none,45,0.0,0.06171668415719812,0.0,0.09738713502883911,0.0,0.7364499975334514,0.0,1.0,0.0,eval,0.0001645663952454331
navigation,none,46,0.0,0.07457346288057473,0.0,0.08096368266985966,0.0,1.0,0.0,1.0,0.0,train,0.00010513191703481056
navigation,none,47,0.0,0.012619785162118764,0.0,0.07010991756732647,0.0,0.0,0.0,1.0,0.0,eval,0.0005779141860266793
navigation,none,48,0.0,0.013899080226054556,0.0,0.07721711236696976,0.0,0.0,0.0,1.0,0.0,train,0.0005776776464445355
navigation,none,49,0.0,0.018738089616482073,0.0,0.10410049786934486,0.0,0.0,0.0,1.0,0.0,eval,0.0005767837963303301
navigation,none,50,0.0,0.07792980592984419,0.0,0.09961003294357887,0.0,1.0,0.0,1.0,0.0,train,0.00010501900723966001
navigation,none,51,0.0,0.012850742959059202,0.0,0.07139301643921779,0.0,0.0,0.0,1.0,0.0,eval,0.0005778714751454896
navigation,none,52,0.0,0.018273974611208988,0.0,0.10152208117338327,0.0,0.0,0.0,1.0,0.0,train,0.0005768694665681325
navigation,none,53,0.0,0.014700431434007791,0.0,0.08166906352226551,0.0,0.0,0.0,1.0,0.0,eval,0.0005775295271967918
navigation,none,54,0.0,0.013658040418074679,0.0,0.07587800232263711,0.0,0.0,0.0,1.0,0.0,train,0.0005777222069148295
navigation,none,55,0.0,0.01587898891705733,0.0,0.08821660509476295,0.0,0.0,0.0,1.0,0.0,eval,0.0005773117552811431
navigation,none,56,0.0,0.01615059765485617,0.0,0.08972554252697872,0.0,0.0,0.0,1.0,0.0,train,0.0005772615795020138
navigation,none,57,0.0,0.07501603974745824,0.0,0.08342244304143465,0.0,1.0,0.0,1.0,0.0,eval,0.00010511702148585051
