task,failure,route,seed,episode,nearest_prototype_route,nearest_prototype_distance,prototype_ambiguity,prototype_classifier_conflict,recovery_review_prototype_ambiguity
NeedlePick,action_dropout,auto_execute,43000,0,auto_execute,0.6182174353642795,0.20713384002735513,0,0.6634529134562241
NeedlePick,action_dropout,auto_execute,43002,0,auto_execute,0.613719033337436,0.20500817843642127,0,0.6637493742007398
NeedlePick,action_dropout,auto_execute,43004,0,auto_execute,0.6064719597924184,0.1999960339007819,0,0.6652409353950496
NeedlePick,action_dropout,auto_recovery,43000,0,auto_recovery,2.738394752285505,0.7569172627356309,0,0.5099684679622364
NeedlePick,action_dropout,auto_recovery,43002,0,auto_recovery,3.652890051531459,0.7874127766499786,0,0.6782981524424059
NeedlePick,action_dropout,auto_recovery,43004,0,auto_recovery,3.7090400396662146,0.7934796509302727,0,0.6810208520092419
NeedlePick,action_dropout,auto_recovery,43000,0,auto_recovery,2.4009695935068187,0.6109826672053993,0,0.5430000735341036
NeedlePick,action_dropout,auto_recovery,43002,0,auto_recovery,2.3030960095880415,0.6026566086606042,0,0.5210161430693665
NeedlePick,action_dropout,auto_recovery,43004,0,auto_recovery,2.275990491908242,0.6009469764051529,0,0.5149114770002761
NeedlePick,action_noise,auto_execute,43000,0,auto_execute,0.6182174353642795,0.20713384002735513,0,0.6634529134562241
NeedlePick,action_noise,auto_execute,43002,0,auto_execute,0.613719033337436,0.20500817843642127,0,0.6637493742007398
NeedlePick,action_noise,auto_execute,43004,0,auto_execute,0.6064719597924184,0.1999960339007819,0,0.6652409353950496
NeedlePick,action_noise,auto_recovery,43000,0,auto_recovery,2.7843818375688367,0.7621620284482089,0,0.5158530211318069
NeedlePick,action_noise,auto_recovery,43002,0,auto_recovery,2.7882694533965013,0.7634895308901086,0,0.5161711164549927
NeedlePick,action_noise,auto_recovery,43004,0,auto_recovery,2.763936574013631,0.7683470069280719,0,0.511897455188471
NeedlePick,action_noise,auto_recovery,43000,0,auto_recovery,2.255901022905846,0.5998315567061303,0,0.5102889375181012
NeedlePick,action_noise,auto_recovery,43002,0,auto_recovery,2.6050185224874345,0.6274571411238759,0,0.5828118656990073
NeedlePick,action_noise,auto_recovery,43004,0,auto_recovery,2.549632020971624,0.6226092326856422,0,0.5721295802147653
NeedlePick,execution_slip,auto_execute,43000,0,auto_execute,0.6182174353642795,0.20713384002735513,0,0.6634529134562241
NeedlePick,execution_slip,auto_execute,43002,0,auto_execute,0.613719033337436,0.20500817843642127,0,0.6637493742007398
NeedlePick,execution_slip,auto_execute,43004,0,auto_execute,0.6064719597924184,0.1999960339007819,0,0.6652409353950496
NeedlePick,execution_slip,auto_recovery,43000,0,auto_recovery,2.780448531101378,0.7608187341315986,0,0.5155316226699058
NeedlePick,execution_slip,auto_recovery,43002,0,auto_recovery,2.788352453144293,0.763512935896788,0,0.5161788964072442
NeedlePick,execution_slip,auto_recovery,43004,0,auto_recovery,3.7361074973289865,0.7958521246306995,0,0.6839638918549755
NeedlePick,execution_slip,auto_recovery,43000,0,auto_recovery,2.4027655694428534,0.6101354379530064,0,0.5424899018947575
NeedlePick,execution_slip,auto_recovery,43002,0,auto_recovery,2.673150047263832,0.6334328381650862,0,0.595620548846395
NeedlePick,execution_slip,auto_recovery,43004,0,auto_recovery,2.44101322625025,0.6132876646405854,0,0.5504101980734271
NeedlePick,none,auto_execute,43000,0,auto_execute,0.6182174353642795,0.20713384002735513,0,0.6634529134562241
NeedlePick,none,auto_execute,43002,0,auto_execute,0.613719033337436,0.20500817843642127,0,0.6637493742007398
NeedlePick,none,auto_execute,43004,0,auto_execute,0.6064719597924184,0.1999960339007819,0,0.6652409353950496
NeedlePick,none,auto_execute,43000,0,auto_execute,1.8032103864708247,0.6035307059661046,0,0.658024229041853
NeedlePick,none,auto_execute,43002,0,auto_execute,1.8821982813338747,0.6210514669941601,0,0.6619970422369944
NeedlePick,none,auto_execute,43004,0,auto_execute,2.124803126848954,0.6677530484454092,0,0.6752852164123885
GauzeRetrieve,action_dropout,auto_execute,43000,0,auto_execute,0.607834376443722,0.19909520549729054,0,0.6661047440259751
GauzeRetrieve,action_dropout,auto_execute,43002,0,auto_execute,0.607581422603668,0.19909557353376583,0,0.6660477280984252
GauzeRetrieve,action_dropout,auto_execute,43004,0,auto_execute,0.6094525473703122,0.1992147305291604,0,0.666390932190166
GauzeRetrieve,action_dropout,auto_recovery,43000,0,auto_recovery,2.4962356287512932,0.7788575533678675,0,0.47053421863044675
GauzeRetrieve,action_dropout,auto_recovery,43002,0,auto_recovery,2.4897826753861043,0.7771361621876687,0,0.4695911234446952
GauzeRetrieve,action_dropout,auto_recovery,43004,0,auto_recovery,2.4372952953455207,0.7720342518418373,0,0.4619625368292398
GauzeRetrieve,action_dropout,auto_recovery,43000,0,auto_recovery,2.476198559062965,0.6172413810143947,0,0.5584604365084056
GauzeRetrieve,action_dropout,auto_recovery,43002,0,auto_recovery,2.662674318346083,0.6325149394791316,0,0.5936741236723174
GauzeRetrieve,action_dropout,auto_recovery,43004,0,auto_recovery,2.550513163299191,0.6226861036952547,0,0.5723014979908816
GauzeRetrieve,action_noise,auto_execute,43000,0,auto_execute,0.607834376443722,0.19909520549729054,0,0.6661047440259751
GauzeRetrieve,action_noise,auto_execute,43002,0,auto_execute,0.607581422603668,0.19909557353376583,0,0.6660477280984252
GauzeRetrieve,action_noise,auto_execute,43004,0,auto_execute,0.6094525473703122,0.1992147305291604,0,0.666390932190166
GauzeRetrieve,action_noise,auto_recovery,43000,0,auto_recovery,2.812783083833836,0.7826735204494834,0,0.5167793831624222
GauzeRetrieve,action_noise,auto_recovery,43002,0,auto_recovery,2.8020861306722042,0.7791858875470488,0,0.5158387064688956
GauzeRetrieve,action_noise,auto_recovery,43004,0,auto_recovery,2.804960605366833,0.7799730044844932,0,0.5161155691440482
GauzeRetrieve,action_noise,auto_recovery,43000,0,auto_recovery,2.7198125062582275,0.6375113076322242,0,0.6041919423702224
GauzeRetrieve,action_noise,auto_recovery,43002,0,auto_recovery,2.6214622807089403,0.6288998599829694,0,0.5859360280992791
GauzeRetrieve,action_noise,auto_recovery,43004,0,auto_recovery,2.4893708304622812,0.6173896367028018,0,0.5602131064273912
GauzeRetrieve,execution_slip,auto_execute,43000,0,auto_execute,0.607834376443722,0.19909520549729054,0,0.6661047440259751
GauzeRetrieve,execution_slip,auto_execute,43002,0,auto_execute,0.607581422603668,0.19909557353376583,0,0.6660477280984252
GauzeRetrieve,execution_slip,auto_execute,43004,0,auto_execute,0.6094525473703122,0.1992147305291604,0,0.666390932190166
GauzeRetrieve,execution_slip,auto_recovery,43000,0,auto_recovery,2.513969496492275,0.783908669672861,0,0.47277532819085777
GauzeRetrieve,execution_slip,auto_recovery,43002,0,auto_recovery,2.5013843248273573,0.780112596503467,0,0.4713386157642635
GauzeRetrieve,execution_slip,auto_recovery,43004,0,auto_recovery,2.5128203261415902,0.7835652216065391,0,0.4726439413312348
GauzeRetrieve,execution_slip,auto_recovery,43000,0,auto_recovery,2.477819839551869,0.6164008036615227,0,0.5578917977980928
GauzeRetrieve,execution_slip,auto_recovery,43002,0,auto_recovery,2.6809124229955534,0.6341125475897681,0,0.597057538239082
GauzeRetrieve,execution_slip,auto_recovery,43004,0,auto_recovery,2.5515581946563386,0.6227772871475843,0,0.5725053073441004
GauzeRetrieve,none,auto_execute,43000,0,auto_execute,0.607834376443722,0.19909520549729054,0,0.6661047440259751
GauzeRetrieve,none,auto_execute,43002,0,auto_execute,0.607581422603668,0.19909557353376583,0,0.6660477280984252
GauzeRetrieve,none,auto_execute,43004,0,auto_execute,0.6094525473703122,0.1992147305291604,0,0.666390932190166
GauzeRetrieve,none,auto_execute,43000,0,auto_execute,2.0380497754553333,0.6450298053405292,0,0.6716324603664995
GauzeRetrieve,none,auto_execute,43002,0,auto_execute,2.038026247319771,0.6450995967347763,0,0.6716174457135385
GauzeRetrieve,none,auto_execute,43004,0,auto_execute,2.0381977957585997,0.6446365395721554,0,0.671718716927936
