task,evidence,target_mechanism,budget,ranking_policy,selected_steps,capture_rate,precision_at_budget
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.05,global_rank,269,0.0,0.0
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.05,mechanism_gated_rank,269,0.14944444444444444,1.0
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.1,global_rank,537,0.0,0.0
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.1,mechanism_gated_rank,537,0.29833333333333334,1.0
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.2,global_rank,1073,0.0,0.0
GauzeRetrieve,visual_state_evidence,visual_estimation_bias,0.2,mechanism_gated_rank,1073,0.5961111111111111,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.05,global_rank,269,0.14944444444444444,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.05,mechanism_gated_rank,269,0.14944444444444444,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.1,global_rank,537,0.29833333333333334,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.1,mechanism_gated_rank,537,0.29833333333333334,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.2,global_rank,1073,0.5961111111111111,1.0
GauzeRetrieve,depth_scale_evidence,depth_scale_error,0.2,mechanism_gated_rank,1073,0.5961111111111111,1.0
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.05,global_rank,269,0.36010709504685406,1.0
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.05,mechanism_gated_rank,269,0.36010709504685406,1.0
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.1,global_rank,537,0.7188755020080321,1.0
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.1,mechanism_gated_rank,537,0.7188755020080321,1.0
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.2,global_rank,1073,1.0,0.6961789375582479
GauzeRetrieve,policy_embedding_proxy_evidence,policy_approach_drift,0.2,mechanism_gated_rank,1073,1.0,0.6961789375582479
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.05,global_rank,269,0.36010709504685406,1.0
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.05,mechanism_gated_rank,269,0.36010709504685406,1.0
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.1,global_rank,537,0.7188755020080321,1.0
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.1,mechanism_gated_rank,537,0.7188755020080321,1.0
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.2,global_rank,1073,1.0,0.6961789375582479
GauzeRetrieve,action_outcome_mismatch_evidence,policy_approach_drift,0.2,mechanism_gated_rank,1073,1.0,0.6961789375582479
GauzeRetrieve,composite_step_score,all,0.05,global_rank,269,0.06188175753393145,1.0
GauzeRetrieve,composite_step_score,all,0.05,mechanism_gated_rank,269,0.06188175753393145,1.0
GauzeRetrieve,composite_step_score,all,0.1,global_rank,537,0.12353347135955832,1.0
GauzeRetrieve,composite_step_score,all,0.1,mechanism_gated_rank,537,0.12353347135955832,1.0
GauzeRetrieve,composite_step_score,all,0.2,global_rank,1073,0.24683689901081204,1.0
GauzeRetrieve,composite_step_score,all,0.2,mechanism_gated_rank,1073,0.24683689901081204,1.0
