evidence,budget,selected,high_risk_capture_rate,precision_at_budget
visual_evidence,0.1,37,0.30327868852459017,1.0
visual_evidence,0.2,74,0.6065573770491803,1.0
visual_evidence,0.3,111,0.6557377049180327,0.7207207207207207
depth_evidence,0.1,37,0.30327868852459017,1.0
depth_evidence,0.2,74,0.6065573770491803,1.0
depth_evidence,0.3,111,0.7377049180327869,0.8108108108108109
policy_embedding_evidence,0.1,37,0.30327868852459017,1.0
policy_embedding_evidence,0.2,74,0.6065573770491803,1.0
policy_embedding_evidence,0.3,111,0.6557377049180327,0.7207207207207207
action_outcome_evidence,0.1,37,0.0,0.0
action_outcome_evidence,0.2,74,0.0,0.0
action_outcome_evidence,0.3,111,0.1721311475409836,0.1891891891891892
local_neighborhood_evidence,0.1,37,0.30327868852459017,1.0
local_neighborhood_evidence,0.2,74,0.6065573770491803,1.0
local_neighborhood_evidence,0.3,111,0.6557377049180327,0.7207207207207207
progress_regularity_evidence,0.1,37,0.1557377049180328,0.5135135135135135
progress_regularity_evidence,0.2,74,0.38524590163934425,0.6351351351351351
progress_regularity_evidence,0.3,111,0.5163934426229508,0.5675675675675675
handoff_evidence,0.1,37,0.30327868852459017,1.0
handoff_evidence,0.2,74,0.4262295081967213,0.7027027027027027
handoff_evidence,0.3,111,0.5983606557377049,0.6576576576576577
boundary_evidence,0.1,37,0.01639344262295082,0.05405405405405406
boundary_evidence,0.2,74,0.08196721311475409,0.13513513513513514
boundary_evidence,0.3,111,0.26229508196721313,0.2882882882882883
composite_risk_score,0.1,37,0.30327868852459017,1.0
composite_risk_score,0.2,74,0.6065573770491803,1.0
composite_risk_score,0.3,111,0.6557377049180327,0.7207207207207207
