key,value
behavior_derived_test_accuracy,0.996
behavior_derived_test_episodes,26
behavior_derived_test_false_alarm,0.025
behavior_derived_test_macro_f1,0.995
behavior_derived_test_missed_high_risk,0.000
behavior_derived_test_rows,3351
cross_g_to_np_false_alarm,0.009
cross_g_to_np_macro_f1,0.996
cross_np_to_g_macro_f1,1.000
mixed_max_signal_macro_f1,0.033
mixed_priority_macro_f1,1.000
mixed_rows,1440
mixed_scenarios,8
mixed_uniform_macro_f1,0.000
severity_high_macro_f1,1.000
severity_high_rows,6
severity_high_seeds,30
severity_uniform_high_macro_f1,0.167
step_composite_accuracy,0.999
step_composite_macro_f1,0.998
step_composite_missed_high_risk,0.000
step_composite_nominal_false_alarm,0.005
step_depth_macro_f1,0.381
step_policy_macro_f1,0.355
step_rows,10823
step_single_score_macro_f1,0.131
step_visual_macro_f1,0.367
true_clean_distance,0.015
true_clean_success,40/40
true_perturbed_distance,0.224
true_perturbed_success,0/40
true_routed_distance,0.016
true_routed_success,40/40
true_seeds_per_cell,5
true_total_episodes,40
