split,episode_id,task,mechanism_label,expected_route,first_expected_step,first_model_derived_step,lead_time_positive_is_early,model_alerted
train,GauzeRetrieve::depth_scale_error::monitor_corrected::43000::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::monitor_corrected::43001::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::monitor_corrected::43002::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::monitor_corrected::43003::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::monitor_corrected::43004::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::perturbed::43000::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::depth_scale_error::perturbed::43001::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,GauzeRetrieve::depth_scale_error::perturbed::43002::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,GauzeRetrieve::depth_scale_error::perturbed::43003::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,GauzeRetrieve::depth_scale_error::perturbed::43004::0,GauzeRetrieve,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,GauzeRetrieve::near_target_drift::monitor_corrected::43000::0,GauzeRetrieve,policy_approach_drift,continue,32.0,24.0,8.0,True
train,GauzeRetrieve::near_target_drift::monitor_corrected::43001::0,GauzeRetrieve,policy_approach_drift,continue,30.0,22.0,8.0,True
train,GauzeRetrieve::near_target_drift::monitor_corrected::43002::0,GauzeRetrieve,policy_approach_drift,continue,32.0,24.0,8.0,True
train,GauzeRetrieve::near_target_drift::monitor_corrected::43003::0,GauzeRetrieve,policy_approach_drift,continue,32.0,24.0,8.0,True
train,GauzeRetrieve::near_target_drift::monitor_corrected::43004::0,GauzeRetrieve,policy_approach_drift,continue,32.0,24.0,8.0,True
train,GauzeRetrieve::near_target_drift::perturbed::43000::0,GauzeRetrieve,policy_approach_drift,low_gain_correction_or_replan,32.0,24.0,8.0,True
train,GauzeRetrieve::near_target_drift::perturbed::43001::0,GauzeRetrieve,policy_approach_drift,low_gain_correction_or_replan,30.0,22.0,8.0,True
test,GauzeRetrieve::near_target_drift::perturbed::43002::0,GauzeRetrieve,policy_approach_drift,low_gain_correction_or_replan,32.0,24.0,8.0,True
test,GauzeRetrieve::near_target_drift::perturbed::43003::0,GauzeRetrieve,policy_approach_drift,low_gain_correction_or_replan,32.0,24.0,8.0,True
test,GauzeRetrieve::near_target_drift::perturbed::43004::0,GauzeRetrieve,policy_approach_drift,low_gain_correction_or_replan,32.0,24.0,8.0,True
train,GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43005::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::none::clean::43006::0,GauzeRetrieve,nominal,continue,,,,False
test,GauzeRetrieve::none::clean::43007::0,GauzeRetrieve,nominal,continue,,,,False
test,GauzeRetrieve::none::clean::43008::0,GauzeRetrieve,nominal,continue,,,,False
test,GauzeRetrieve::none::clean::43009::0,GauzeRetrieve,nominal,continue,,,,False
train,GauzeRetrieve::perception_bias::monitor_corrected::43000::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::monitor_corrected::43001::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::monitor_corrected::43002::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::monitor_corrected::43003::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::monitor_corrected::43004::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::perturbed::43000::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,GauzeRetrieve::perception_bias::perturbed::43001::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,GauzeRetrieve::perception_bias::perturbed::43002::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,GauzeRetrieve::perception_bias::perturbed::43003::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
test,GauzeRetrieve::perception_bias::perturbed::43004::0,GauzeRetrieve,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::monitor_corrected::43000::0,NeedlePick,depth_scale_error,continue,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::monitor_corrected::43001::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::monitor_corrected::43002::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::monitor_corrected::43003::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::monitor_corrected::43004::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::perturbed::43000::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::depth_scale_error::perturbed::43001::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,NeedlePick::depth_scale_error::perturbed::43002::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,NeedlePick::depth_scale_error::perturbed::43003::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
test,NeedlePick::depth_scale_error::perturbed::43004::0,NeedlePick,depth_scale_error,depth_reestimate_or_cautious_approach,0.0,0.0,0.0,True
train,NeedlePick::near_target_drift::monitor_corrected::43000::0,NeedlePick,policy_approach_drift,continue,40.0,40.0,0.0,True
train,NeedlePick::near_target_drift::monitor_corrected::43001::0,NeedlePick,policy_approach_drift,continue,32.0,32.0,0.0,True
train,NeedlePick::near_target_drift::monitor_corrected::43002::0,NeedlePick,policy_approach_drift,continue,38.0,38.0,0.0,True
train,NeedlePick::near_target_drift::monitor_corrected::43003::0,NeedlePick,policy_approach_drift,continue,36.0,36.0,0.0,True
train,NeedlePick::near_target_drift::monitor_corrected::43004::0,NeedlePick,policy_approach_drift,continue,33.0,33.0,0.0,True
train,NeedlePick::near_target_drift::perturbed::43000::0,NeedlePick,policy_approach_drift,low_gain_correction_or_replan,40.0,40.0,0.0,True
train,NeedlePick::near_target_drift::perturbed::43001::0,NeedlePick,policy_approach_drift,low_gain_correction_or_replan,32.0,32.0,0.0,True
test,NeedlePick::near_target_drift::perturbed::43002::0,NeedlePick,policy_approach_drift,low_gain_correction_or_replan,38.0,38.0,0.0,True
test,NeedlePick::near_target_drift::perturbed::43003::0,NeedlePick,policy_approach_drift,low_gain_correction_or_replan,36.0,36.0,0.0,True
test,NeedlePick::near_target_drift::perturbed::43004::0,NeedlePick,policy_approach_drift,continue,33.0,33.0,0.0,True
train,NeedlePick::none::clean::43000::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43001::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43002::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43003::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43004::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43005::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::none::clean::43006::0,NeedlePick,nominal,continue,,,,False
test,NeedlePick::none::clean::43007::0,NeedlePick,nominal,continue,,,,False
test,NeedlePick::none::clean::43008::0,NeedlePick,nominal,continue,,,,False
test,NeedlePick::none::clean::43009::0,NeedlePick,nominal,continue,,,,False
train,NeedlePick::perception_bias::monitor_corrected::43000::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedlePick::perception_bias::monitor_corrected::43001::0,NeedlePick,visual_estimation_bias,continue,0.0,0.0,0.0,True
train,NeedlePick::perception_bias::monitor_corrected::43002::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
train,NeedlePick::perception_bias::monitor_corrected::43003::0,NeedlePick,visual_estimation_bias,reobserve_reestimate,0.0,0.0,0.0,True
