suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance,review_needed,failure_or_review,first_action_anomaly_missing,first_grasp_uncertain_missing,first_perception_uncertain_missing,first_review_missing,learned_review_risk,split,route_idx,review_or_abort,not_auto_execute,progress_fraction,first_action_anomaly_signal,first_grasp_uncertain_signal,first_perception_uncertain_signal,inverse_min_danger_distance,stall_or_slow_progress,failure_family_known,multisignal_review_score,multisignal_review_pred,multisignal_route_pred,multisignal_route_confidence,split_multisignal,mechanism_label,expected_vppv_route,visual_evidence,depth_evidence,policy_embedding_evidence,action_outcome_evidence,progress_regularity_evidence,local_neighborhood_evidence,handoff_evidence,boundary_evidence,composite_risk_score,high_risk_label,route_uniform_retry,route_visual_only,route_embedding_only,route_single_score,route_composite_vppv
standard_corruptions,NeedlePick,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0219842687172998,0,auto_execute,0.9523371691658488,train,policy_approach_drift,low_gain_correction_or_replan,0.0047354072718018,0.00331478509026126,0.01970929363793585,0.004032258064516129,0.3927210112468732,0.3276709501930299,0.07854420224937464,0.0,0.0681542190438101,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42.0,2.25,999.0,999.0,999.0,999.0,,,41.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0084584177991931,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0216320418512344,0,auto_execute,0.9532558953477044,validation,policy_approach_drift,low_gain_correction_or_replan,0.004652129789556206,0.003256490852689344,0.019610874795281966,0.004032258064516129,0.3902643932572636,0.3268847553748201,0.07805287865145272,0.0,0.06772009679604529,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37.0,2.25,999.0,999.0,999.0,999.0,,,36.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.0079376810615223,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0203487349827038,0,auto_execute,0.9566761436015168,train,policy_approach_drift,low_gain_correction_or_replan,0.0043657245838372655,0.0030560072086860857,0.019272395915795944,0.004032258064516129,0.37967379022764,0.32353833502618995,0.075934758045528,0.0,0.06588437650804918,False,low_gain_correction_or_replan,continue,continue,continue,continue
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210995030053168,45.0,2.6875,1.0,999.0,999.0,999.0,,1.0,44.0,2.0,0.0,0.9555555555555556,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0021930952282604,train_even_seed,1,0,1,0.0,0.998998998998999,0.0,0.0,1.0,1.0,1,0.0105617956699154,0,auto_recovery,0.9602268407379628,train,policy_approach_drift,low_gain_correction_or_replan,0.0012062023755432202,0.0008443416628802541,0.020477931253207966,0.7086042090477576,0.3939732666452286,0.32843094562017255,0.07879465332904573,0.0,0.19422763481451133,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0238176560888123,85.0,2.78125,2.0,999.0,999.0,999.0,,2.0,84.0,3.0,1.0,0.8823529411764706,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0114138370132511,train_even_seed,1,0,1,0.0,0.997997997997998,0.0,0.0,1.0,1.0,1,0.0396911410035319,0,auto_recovery,0.9736070804479732,validation,policy_approach_drift,low_gain_correction_or_replan,0.006277610357288105,0.004394327250101673,0.027529881155387403,0.7250656550763287,0.4457931296292714,0.3475028794664751,0.21415862592585427,0.0,0.22065189318790018,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0202460852769509,79.0,2.96875,4.0,999.0,999.0,999.0,,4.0,78.0,3.0,1.0,0.9240506329113924,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,1.0,0.0108031151462774,train_even_seed,1,0,1,0.0,0.995995995995996,0.0,0.0,1.0,1.0,1,0.0376022323078444,0,auto_recovery,0.9733782570409888,train,policy_approach_drift,low_gain_correction_or_replan,0.00594171333045257,0.004159199331316799,0.029249847425725468,0.7331091312320895,0.4353256621691331,0.3452226223636027,0.21206513243382663,0.0,0.22059800600941107,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_dropout,perturbed,43000,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2247712143305472,200.0,3.25,6.0,999.0,999.0,37.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0407807370940747,train_even_seed,1,0,1,0.0,0.993993993993994,0.0,0.0,1.0,1.0,1,0.0556764129986215,0,auto_recovery,0.9665199159160306,train,policy_approach_drift,low_gain_correction_or_replan,0.022429405401741084,0.015700583781218757,0.051910704917600164,0.4545553618134264,0.759261769101702,0.4537338831893107,0.1518523538203404,0.0,0.2184261002116344,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_dropout,perturbed,43002,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.2006484283390624,200.0,3.25,0.0,999.0,999.0,31.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.0374291370509341,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0500035823508316,0,auto_recovery,0.9667130841747912,validation,policy_approach_drift,low_gain_correction_or_replan,0.020586025378013757,0.014410217764609629,0.049732164889558776,0.45725806451612905,0.7387176213492913,0.4464813688495668,0.14774352426985826,0.0,0.21471656912603543,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_dropout,perturbed,43004,0,auto_recovery,reversible_action_or_execution_anomaly,0.0,0.1930878906955348,200.0,3.25,0.0,999.0,999.0,32.0,,,,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0,0.0,0.036434288958535,train_even_seed,1,0,1,0.0,1.0,0.0,0.0,1.0,1.0,1,0.0484545508398287,0,auto_recovery,0.9664731500545564,train,policy_approach_drift,low_gain_correction_or_replan,0.020038858927194248,0.014027201249035972,0.04908551362949936,0.45725806451612905,0.7322786966541454,0.4442263658109933,0.1464557393308291,0.0,0.21341653837215346,False,low_gain_correction_or_replan,continue,continue,continue,low_gain_correction_or_replan
standard_corruptions,NeedlePick,action_noise,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44.0,2.25,999.0,999.0,999.0,999.0,,,43.0,0.0,0.0,0.0,,,0.0210813645507613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,1.0,1.0,0.008609831403276,train_even_seed,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0219842687172998,0,auto_execute,0.9523371691658488,train,policy_approach_drift,low_gain_correction_or_replan,0.0047354072718018,0.00331478509026126,0.01970929363793585,0.004032258064516129,0.3927210112468732,0.3276709501930299,0.07854420224937464,0.0,0.0681542190438101,False,low_gain_correction_or_replan,continue,continue,continue,continue
