episode_id,task,mechanism,model,terminal_step,onset_step,first_alert_step,alerted,lead_time_to_terminal,alert_after_onset_lag,false_alert
NeedlePick::none::clean::43000::0,NeedlePick,nominal,visual_only,43,,,False,,,False
NeedlePick::none::clean::43000::0,NeedlePick,nominal,depth_only,43,,,False,,,False
NeedlePick::none::clean::43000::0,NeedlePick,nominal,policy_only,43,,,False,,,False
NeedlePick::none::clean::43000::0,NeedlePick,nominal,action_outcome_only,43,,,False,,,False
NeedlePick::none::clean::43000::0,NeedlePick,nominal,composite,43,,,False,,,False
NeedlePick::none::clean::43001::0,NeedlePick,nominal,visual_only,35,,,False,,,False
NeedlePick::none::clean::43001::0,NeedlePick,nominal,depth_only,35,,,False,,,False
NeedlePick::none::clean::43001::0,NeedlePick,nominal,policy_only,35,,,False,,,False
NeedlePick::none::clean::43001::0,NeedlePick,nominal,action_outcome_only,35,,,False,,,False
NeedlePick::none::clean::43001::0,NeedlePick,nominal,composite,35,,,False,,,False
NeedlePick::none::clean::43002::0,NeedlePick,nominal,visual_only,41,,,False,,,False
NeedlePick::none::clean::43002::0,NeedlePick,nominal,depth_only,41,,,False,,,False
NeedlePick::none::clean::43002::0,NeedlePick,nominal,policy_only,41,,,False,,,False
NeedlePick::none::clean::43002::0,NeedlePick,nominal,action_outcome_only,41,,,False,,,False
NeedlePick::none::clean::43002::0,NeedlePick,nominal,composite,41,,,False,,,False
NeedlePick::none::clean::43003::0,NeedlePick,nominal,visual_only,40,,,False,,,False
NeedlePick::none::clean::43003::0,NeedlePick,nominal,depth_only,40,,,False,,,False
NeedlePick::none::clean::43003::0,NeedlePick,nominal,policy_only,40,,,False,,,False
NeedlePick::none::clean::43003::0,NeedlePick,nominal,action_outcome_only,40,,,False,,,False
NeedlePick::none::clean::43003::0,NeedlePick,nominal,composite,40,,,False,,,False
NeedlePick::none::clean::43004::0,NeedlePick,nominal,visual_only,36,,,False,,,False
NeedlePick::none::clean::43004::0,NeedlePick,nominal,depth_only,36,,,False,,,False
NeedlePick::none::clean::43004::0,NeedlePick,nominal,policy_only,36,,,False,,,False
NeedlePick::none::clean::43004::0,NeedlePick,nominal,action_outcome_only,36,,,False,,,False
NeedlePick::none::clean::43004::0,NeedlePick,nominal,composite,36,,,False,,,False
GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,visual_only,34,,,False,,,False
GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,depth_only,34,,,False,,,False
GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,policy_only,34,,,False,,,False
GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,action_outcome_only,34,,,False,,,False
GauzeRetrieve::none::clean::43000::0,GauzeRetrieve,nominal,composite,34,,,False,,,False
GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,visual_only,32,,,False,,,False
GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,depth_only,32,,,False,,,False
GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,policy_only,32,,,False,,,False
GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,action_outcome_only,32,,,False,,,False
GauzeRetrieve::none::clean::43001::0,GauzeRetrieve,nominal,composite,32,,,False,,,False
GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,visual_only,34,,,False,,,False
GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,depth_only,34,,,False,,,False
GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,policy_only,34,,,False,,,False
GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,action_outcome_only,34,,,False,,,False
GauzeRetrieve::none::clean::43002::0,GauzeRetrieve,nominal,composite,34,,,False,,,False
GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,visual_only,34,,,False,,,False
GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,depth_only,34,,,False,,,False
GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,policy_only,34,,,False,,,False
GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,action_outcome_only,34,,,False,,,False
GauzeRetrieve::none::clean::43003::0,GauzeRetrieve,nominal,composite,34,,,False,,,False
GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,visual_only,34,,,False,,,False
GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,depth_only,34,,,False,,,False
GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,policy_only,34,,,False,,,False
GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,action_outcome_only,34,,,False,,,False
GauzeRetrieve::none::clean::43004::0,GauzeRetrieve,nominal,composite,34,,,False,,,False
NeedlePick::none::clean::43005::0,NeedlePick,nominal,visual_only,45,,,False,,,False
NeedlePick::none::clean::43005::0,NeedlePick,nominal,depth_only,45,,,False,,,False
NeedlePick::none::clean::43005::0,NeedlePick,nominal,policy_only,45,,,False,,,False
NeedlePick::none::clean::43005::0,NeedlePick,nominal,action_outcome_only,45,,,False,,,False
NeedlePick::none::clean::43005::0,NeedlePick,nominal,composite,45,,,False,,,False
NeedlePick::none::clean::43006::0,NeedlePick,nominal,visual_only,44,,,False,,,False
NeedlePick::none::clean::43006::0,NeedlePick,nominal,depth_only,44,,,False,,,False
NeedlePick::none::clean::43006::0,NeedlePick,nominal,policy_only,44,,,False,,,False
NeedlePick::none::clean::43006::0,NeedlePick,nominal,action_outcome_only,44,,,False,,,False
NeedlePick::none::clean::43006::0,NeedlePick,nominal,composite,44,,,False,,,False
NeedlePick::none::clean::43007::0,NeedlePick,nominal,visual_only,35,,,False,,,False
NeedlePick::none::clean::43007::0,NeedlePick,nominal,depth_only,35,,,False,,,False
NeedlePick::none::clean::43007::0,NeedlePick,nominal,policy_only,35,,,False,,,False
NeedlePick::none::clean::43007::0,NeedlePick,nominal,action_outcome_only,35,,,False,,,False
NeedlePick::none::clean::43007::0,NeedlePick,nominal,composite,35,,,False,,,False
NeedlePick::none::clean::43008::0,NeedlePick,nominal,visual_only,40,,,False,,,False
NeedlePick::none::clean::43008::0,NeedlePick,nominal,depth_only,40,,,False,,,False
NeedlePick::none::clean::43008::0,NeedlePick,nominal,policy_only,40,,,False,,,False
NeedlePick::none::clean::43008::0,NeedlePick,nominal,action_outcome_only,40,,,False,,,False
NeedlePick::none::clean::43008::0,NeedlePick,nominal,composite,40,,,False,,,False
NeedlePick::none::clean::43009::0,NeedlePick,nominal,visual_only,39,,,False,,,False
NeedlePick::none::clean::43009::0,NeedlePick,nominal,depth_only,39,,,False,,,False
NeedlePick::none::clean::43009::0,NeedlePick,nominal,policy_only,39,,,False,,,False
