mechanism,model,episodes,alert_rate,false_alert_rate,median_lead_time,median_lag_after_onset
depth_scale_error,action_outcome_only,20,0.05,0.0,111.0,68.0
depth_scale_error,composite,20,1.0,0.0,179.0,0.0
depth_scale_error,depth_only,20,1.0,0.0,179.0,0.0
depth_scale_error,policy_only,20,0.0,0.0,,
depth_scale_error,visual_only,20,1.0,0.0,179.0,0.0
nominal,action_outcome_only,25,0.0,0.0,,
nominal,composite,25,0.0,0.0,,
nominal,depth_only,25,0.0,0.0,,
nominal,policy_only,25,0.0,0.0,,
nominal,visual_only,25,0.0,0.0,,
policy_approach_drift,action_outcome_only,20,1.0,0.0,3.5,0.0
policy_approach_drift,composite,20,1.0,0.0,3.5,0.0
policy_approach_drift,depth_only,20,0.0,0.0,,
policy_approach_drift,policy_only,20,1.0,0.0,3.5,0.0
policy_approach_drift,visual_only,20,0.0,0.0,,
visual_estimation_bias,action_outcome_only,20,0.05,0.0,109.0,70.0
visual_estimation_bias,composite,20,1.0,0.0,179.0,0.0
visual_estimation_bias,depth_only,20,0.0,0.0,,
visual_estimation_bias,policy_only,20,0.0,0.0,,
visual_estimation_bias,visual_only,20,1.0,0.0,179.0,0.0
