mechanism,evidence,budget,selected_steps,capture_rate,precision_at_budget
depth_scale_error,visual_state_evidence,0.05,180,0.05182839044054132,1.0
depth_scale_error,visual_state_evidence,0.1,360,0.10365678088108264,1.0
depth_scale_error,visual_state_evidence,0.2,720,0.20731356176216528,1.0
depth_scale_error,depth_scale_evidence,0.05,180,0.05182839044054132,1.0
depth_scale_error,depth_scale_evidence,0.1,360,0.10365678088108264,1.0
depth_scale_error,depth_scale_evidence,0.2,720,0.20731356176216528,1.0
depth_scale_error,policy_embedding_proxy_evidence,0.05,180,0.05182839044054132,1.0
depth_scale_error,policy_embedding_proxy_evidence,0.1,360,0.10365678088108264,1.0
depth_scale_error,policy_embedding_proxy_evidence,0.2,720,0.20731356176216528,1.0
depth_scale_error,action_outcome_mismatch_evidence,0.05,180,0.015260581629714944,0.29444444444444445
depth_scale_error,action_outcome_mismatch_evidence,0.1,360,0.06708897207025626,0.6472222222222223
depth_scale_error,action_outcome_mismatch_evidence,0.2,720,0.1707457529513389,0.8236111111111111
depth_scale_error,progress_regularity_evidence,0.05,180,0.0489490354160668,0.9444444444444444
depth_scale_error,progress_regularity_evidence,0.1,360,0.10077742585660812,0.9722222222222222
depth_scale_error,progress_regularity_evidence,0.2,720,0.20443420673769075,0.9861111111111112
depth_scale_error,local_neighborhood_proxy_evidence,0.05,180,0.05182839044054132,1.0
depth_scale_error,local_neighborhood_proxy_evidence,0.1,360,0.10365678088108264,1.0
depth_scale_error,local_neighborhood_proxy_evidence,0.2,720,0.20731356176216528,1.0
depth_scale_error,composite_step_score,0.05,180,0.05182839044054132,1.0
depth_scale_error,composite_step_score,0.1,360,0.10365678088108264,1.0
depth_scale_error,composite_step_score,0.2,720,0.20731356176216528,1.0
nominal,visual_state_evidence,0.05,80,0.0,0.0
nominal,visual_state_evidence,0.1,160,0.0,0.0
nominal,visual_state_evidence,0.2,320,0.0,0.0
nominal,depth_scale_evidence,0.05,80,0.0,0.0
nominal,depth_scale_evidence,0.1,160,0.0,0.0
nominal,depth_scale_evidence,0.2,320,0.0,0.0
nominal,policy_embedding_proxy_evidence,0.05,80,0.0,0.0
nominal,policy_embedding_proxy_evidence,0.1,160,0.0,0.0
nominal,policy_embedding_proxy_evidence,0.2,320,0.0,0.0
nominal,action_outcome_mismatch_evidence,0.05,80,0.0,0.0
nominal,action_outcome_mismatch_evidence,0.1,160,0.0,0.0
nominal,action_outcome_mismatch_evidence,0.2,320,0.0,0.0
nominal,progress_regularity_evidence,0.05,80,0.0,0.0
nominal,progress_regularity_evidence,0.1,160,0.0,0.0
nominal,progress_regularity_evidence,0.2,320,0.0,0.0
nominal,local_neighborhood_proxy_evidence,0.05,80,0.0,0.0
nominal,local_neighborhood_proxy_evidence,0.1,160,0.0,0.0
nominal,local_neighborhood_proxy_evidence,0.2,320,0.0,0.0
nominal,composite_step_score,0.05,80,0.0,0.0
nominal,composite_step_score,0.1,160,0.0,0.0
nominal,composite_step_score,0.2,320,0.0,0.0
policy_approach_drift,visual_state_evidence,0.05,102,0.014890282131661442,0.18627450980392157
policy_approach_drift,visual_state_evidence,0.1,203,0.017241379310344827,0.10837438423645321
policy_approach_drift,visual_state_evidence,0.2,406,0.11677115987460815,0.3669950738916256
policy_approach_drift,depth_scale_evidence,0.05,102,0.014890282131661442,0.18627450980392157
policy_approach_drift,depth_scale_evidence,0.1,203,0.017241379310344827,0.10837438423645321
policy_approach_drift,depth_scale_evidence,0.2,406,0.11677115987460815,0.3669950738916256
policy_approach_drift,policy_embedding_proxy_evidence,0.05,102,0.07993730407523511,1.0
policy_approach_drift,policy_embedding_proxy_evidence,0.1,203,0.1590909090909091,1.0
policy_approach_drift,policy_embedding_proxy_evidence,0.2,406,0.3181818181818182,1.0
policy_approach_drift,action_outcome_mismatch_evidence,0.05,102,0.07993730407523511,1.0
policy_approach_drift,action_outcome_mismatch_evidence,0.1,203,0.1590909090909091,1.0
policy_approach_drift,action_outcome_mismatch_evidence,0.2,406,0.3181818181818182,1.0
policy_approach_drift,progress_regularity_evidence,0.05,102,0.0,0.0
policy_approach_drift,progress_regularity_evidence,0.1,203,0.0,0.0
policy_approach_drift,progress_regularity_evidence,0.2,406,0.0,0.0
policy_approach_drift,local_neighborhood_proxy_evidence,0.05,102,0.07993730407523511,1.0
policy_approach_drift,local_neighborhood_proxy_evidence,0.1,203,0.1590909090909091,1.0
policy_approach_drift,local_neighborhood_proxy_evidence,0.2,406,0.27899686520376177,0.8768472906403941
