task,failure_combo,components,expected_priority_route,priority_recovery_policy,controller,episodes,seeds,success_mean,final_distance_mean,min_distance_mean,monitor_triggers_mean,visual_reestimate_triggers_mean,recovery_override_rate_mean,steps_mean
GauzeRetrieve,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01233405900713062,0.01233405900713062,0.0,0.0,0.0,34.6
GauzeRetrieve,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.2579884571062344,0.25793660499107623,0.0,0.0,0.0,180.0
GauzeRetrieve,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.012543976304095839,0.012543976304095839,2.0,1.0,0.05781512605042014,34.6
GauzeRetrieve,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01233405900713062,0.01233405900713062,0.0,0.0,0.0,34.6
GauzeRetrieve,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.25795618549135046,0.2578671770257964,0.0,0.0,0.0,180.0
GauzeRetrieve,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.01291195034462284,0.01291195034462284,1.0,1.0,0.0,34.6
GauzeRetrieve,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01233405900713062,0.01233405900713062,0.0,0.0,0.0,34.6
GauzeRetrieve,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.25795618549135046,0.2578671770257964,0.0,0.0,0.0,180.0
GauzeRetrieve,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.012543976304095839,0.012543976304095839,2.0,1.0,0.05781512605042014,34.6
GauzeRetrieve,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,clean,5,5,1.0,0.01233405900713062,0.01233405900713062,0.0,0.0,0.0,34.6
GauzeRetrieve,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,perturbed,5,5,0.0,0.25901664033365324,0.2567413063825298,0.0,0.0,0.0,180.0
GauzeRetrieve,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,priority_routed,5,5,1.0,0.012543976304095839,0.012543976304095839,2.0,1.0,0.05781512605042014,34.6
NeedlePick,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01856348002789642,0.01856348002789642,0.0,0.0,0.0,40.2
NeedlePick,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.18990317858856592,0.1888461513347651,0.0,0.0,0.0,180.0
NeedlePick,depth_scale_error+near_target_drift,depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.0209372040388983,0.0209372040388983,2.0,1.0,0.07071846852334653,39.6
NeedlePick,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01856348002789642,0.01856348002789642,0.0,0.0,0.0,40.2
NeedlePick,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.186816558329791,0.18596094766989968,0.0,0.0,0.0,180.0
NeedlePick,perception_bias+depth_scale_error,perception_bias+depth_scale_error,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.01856355055966194,0.01856355055966194,1.0,1.0,0.0,40.2
NeedlePick,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,clean,5,5,1.0,0.01856348002789642,0.01856348002789642,0.0,0.0,0.0,40.2
NeedlePick,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,perturbed,5,5,0.0,0.186816558329791,0.18596094766989968,0.0,0.0,0.0,180.0
NeedlePick,perception_bias+depth_scale_error+near_target_drift,perception_bias+depth_scale_error+near_target_drift,depth_reestimate_or_cautious_approach,review_reestimate,priority_routed,5,5,1.0,0.0209372040388983,0.0209372040388983,2.0,1.0,0.07071846852334653,39.6
NeedlePick,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,clean,5,5,1.0,0.01856348002789642,0.01856348002789642,0.0,0.0,0.0,40.2
NeedlePick,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,perturbed,5,5,0.0,0.19801142840055724,0.19243643554640041,0.0,0.0,0.0,180.0
NeedlePick,perception_bias+near_target_drift,perception_bias+near_target_drift,reobserve_reestimate,review_reestimate,priority_routed,5,5,1.0,0.0209372040388983,0.0209372040388983,2.0,1.0,0.07071846852334653,39.6
