threshold,precision,recall,false_positive_rate,tp,fp,fn,tn
0.05,0.6956521739130435,1.0,0.1206896551724138,16,7,0,51
0.1,1.0,1.0,0.0,16,0,0,58
0.15,1.0,1.0,0.0,16,0,0,58
0.2,1.0,1.0,0.0,16,0,0,58
0.25,1.0,1.0,0.0,16,0,0,58
0.3,1.0,1.0,0.0,16,0,0,58
0.35,1.0,1.0,0.0,16,0,0,58
0.39999999999999997,1.0,1.0,0.0,16,0,0,58
0.44999999999999996,1.0,1.0,0.0,16,0,0,58
0.49999999999999994,1.0,1.0,0.0,16,0,0,58
0.5499999999999999,1.0,1.0,0.0,16,0,0,58
0.6,1.0,1.0,0.0,16,0,0,58
0.65,1.0,1.0,0.0,16,0,0,58
0.7,1.0,1.0,0.0,16,0,0,58
0.75,1.0,1.0,0.0,16,0,0,58
0.7999999999999999,1.0,1.0,0.0,16,0,0,58
0.85,1.0,1.0,0.0,16,0,0,58
0.9,1.0,1.0,0.0,16,0,0,58
0.95,1.0,1.0,0.0,16,0,0,58
