threshold,task,failure,controller,episodes,alarm_rate,mean_alarm_step,median_alarm_step
1.5,GauzeRetrieve,jaw_stuck_open,clean,10,0.9,30.0,30.0
1.5,GauzeRetrieve,jaw_stuck_open,monitor_corrected,10,1.0,30.0,30.0
1.5,GauzeRetrieve,jaw_stuck_open,perturbed,10,1.0,30.0,30.0
1.5,GauzeRetrieve,none,clean,10,0.9,30.0,30.0
1.5,GauzeRetrieve,none,monitor_corrected,10,0.9,30.0,30.0
1.5,NeedlePick,jaw_stuck_open,clean,10,1.0,34.7,35.0
1.5,NeedlePick,jaw_stuck_open,monitor_corrected,10,1.0,34.7,35.0
1.5,NeedlePick,jaw_stuck_open,perturbed,10,1.0,34.7,35.0
1.5,NeedlePick,none,clean,10,1.0,34.7,35.0
1.5,NeedlePick,none,monitor_corrected,10,1.0,34.7,35.0
2.0,GauzeRetrieve,jaw_stuck_open,clean,10,0.9,30.0,30.0
2.0,GauzeRetrieve,jaw_stuck_open,monitor_corrected,10,1.0,30.0,30.0
2.0,GauzeRetrieve,jaw_stuck_open,perturbed,10,1.0,30.0,30.0
2.0,GauzeRetrieve,none,clean,10,0.9,30.0,30.0
2.0,GauzeRetrieve,none,monitor_corrected,10,0.9,30.0,30.0
2.0,NeedlePick,jaw_stuck_open,clean,10,1.0,34.7,35.0
2.0,NeedlePick,jaw_stuck_open,monitor_corrected,10,1.0,34.7,35.0
2.0,NeedlePick,jaw_stuck_open,perturbed,10,1.0,34.7,35.0
2.0,NeedlePick,none,clean,10,1.0,34.7,35.0
2.0,NeedlePick,none,monitor_corrected,10,1.0,34.7,35.0
2.5,GauzeRetrieve,jaw_stuck_open,clean,10,0.0,,
2.5,GauzeRetrieve,jaw_stuck_open,monitor_corrected,10,1.0,30.0,30.0
2.5,GauzeRetrieve,jaw_stuck_open,perturbed,10,1.0,30.0,30.0
2.5,GauzeRetrieve,none,clean,10,0.0,,
2.5,GauzeRetrieve,none,monitor_corrected,10,0.0,,
2.5,NeedlePick,jaw_stuck_open,clean,10,0.0,,
2.5,NeedlePick,jaw_stuck_open,monitor_corrected,10,1.0,34.7,35.0
2.5,NeedlePick,jaw_stuck_open,perturbed,10,1.0,34.7,35.0
2.5,NeedlePick,none,clean,10,0.0,,
2.5,NeedlePick,none,monitor_corrected,10,0.0,,
3.0,GauzeRetrieve,jaw_stuck_open,clean,10,0.0,,
3.0,GauzeRetrieve,jaw_stuck_open,monitor_corrected,10,1.0,30.0,30.0
3.0,GauzeRetrieve,jaw_stuck_open,perturbed,10,1.0,30.0,30.0
3.0,GauzeRetrieve,none,clean,10,0.0,,
3.0,GauzeRetrieve,none,monitor_corrected,10,0.0,,
3.0,NeedlePick,jaw_stuck_open,clean,10,0.0,,
3.0,NeedlePick,jaw_stuck_open,monitor_corrected,10,1.0,34.7,35.0
3.0,NeedlePick,jaw_stuck_open,perturbed,10,1.0,34.7,35.0
3.0,NeedlePick,none,clean,10,0.0,,
3.0,NeedlePick,none,monitor_corrected,10,0.0,,
3.5,GauzeRetrieve,jaw_stuck_open,clean,10,0.0,,
3.5,GauzeRetrieve,jaw_stuck_open,monitor_corrected,10,1.0,30.0,30.0
3.5,GauzeRetrieve,jaw_stuck_open,perturbed,10,1.0,30.0,30.0
3.5,GauzeRetrieve,none,clean,10,0.0,,
3.5,GauzeRetrieve,none,monitor_corrected,10,0.0,,
3.5,NeedlePick,jaw_stuck_open,clean,10,0.0,,
3.5,NeedlePick,jaw_stuck_open,monitor_corrected,10,1.0,34.7,35.0
3.5,NeedlePick,jaw_stuck_open,perturbed,10,1.0,34.7,35.0
3.5,NeedlePick,none,clean,10,0.0,,
3.5,NeedlePick,none,monitor_corrected,10,0.0,,
