true_route,pred_route,count
auto_execute,auto_execute,231
auto_execute,auto_recovery,3
auto_execute,human_review,0
auto_execute,abort_candidate,0
auto_recovery,auto_execute,12
auto_recovery,auto_recovery,43
auto_recovery,human_review,56
auto_recovery,abort_candidate,0
human_review,auto_execute,0
human_review,auto_recovery,0
human_review,human_review,108
human_review,abort_candidate,0
abort_candidate,auto_execute,0
abort_candidate,auto_recovery,0
abort_candidate,human_review,0
abort_candidate,abort_candidate,7
