task,failure,controller,trigger_mode,seed,episode,success,steps,return,initial_distance,final_distance,min_distance,distance_reduction,risk_event_rate,monitor_triggers,recovery_replans,recovery_phase_replans,recovery_override_rate,source_csv,recovery_policy,experiment_suite,experiment_notes,visual_reestimate_triggers,unsafe_warning_events,unsafe_abort,min_danger_distance
NeedlePick,none,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,clean,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062874458691,0.0220062874458691,0.1462325012092058,0.6944444444444444,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,clean,coarse,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893382398011,0.0178893382398011,0.1714555210966991,0.7073170731707317,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,monitor_corrected,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.021082165583244,0.021082165583244,0.2037505363529464,0.7272727272727273,1,0,0,0.7272727272727273,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,monitor_corrected,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062751549105,0.0220062751549105,0.1462325135001643,0.6944444444444444,1,0,0,0.8611111111111112,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,monitor_corrected,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.021104949804524,0.021104949804524,0.2551785949031399,0.6904761904761905,1,0,0,0.7619047619047619,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,monitor_corrected,coarse,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893429149685,0.0178893429149685,0.1714555164215318,0.7073170731707317,1,0,0,0.7804878048780488,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,none,monitor_corrected,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348323491111,0.0159348323491111,0.2171169193552323,0.6486486486486487,1,0,0,0.8648648648648649,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,clean,coarse,43000,0,1.0,44,-43.0,0.2248327019361904,0.0210823226468185,0.0210823226468185,0.2037503792893718,0.7272727272727273,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,clean,coarse,43001,0,1.0,36,-35.0,0.1682387886550749,0.0220062874458691,0.0220062874458691,0.1462325012092058,0.6944444444444444,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,clean,coarse,43002,0,1.0,42,-41.0,0.276283544707664,0.0211041973088774,0.0211041973088774,0.2551793473987866,0.6904761904761905,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,clean,coarse,43003,0,1.0,41,-40.0,0.1893448593365003,0.0178893382398011,0.0178893382398011,0.1714555210966991,0.7073170731707317,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,clean,coarse,43004,0,1.0,37,-36.0,0.2330517517043435,0.0159348329772258,0.0159348329772258,0.2171169187271176,0.6486486486486487,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,perturbed,coarse,43000,0,0.0,200,-200.0,0.2248327019361904,0.1870661590356343,0.1870653013312657,0.037766542900556,1.0,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
NeedlePick,action_noise,perturbed,coarse,43001,0,0.0,200,-200.0,0.1682387886550749,0.1795529447779188,0.1660232162050409,-0.0113141561228438,0.995,0,0,0,0.0,runs/surrol_needlepick_phase_replan_w32_5seed.csv,internal_phase_replan,standard_corruptions,"NeedlePick standard action corruptions, internal phase-aware recovery",,,,
