label_type,true_label,pred_label,count
family,execution_drift,execution_drift,45
family,execution_drift,grasp_outcome_uncertain,0
family,execution_drift,nominal,8
family,execution_drift,unsafe_abort,8
family,execution_drift,visual_state_error,0
family,grasp_outcome_uncertain,execution_drift,0
family,grasp_outcome_uncertain,grasp_outcome_uncertain,20
family,grasp_outcome_uncertain,nominal,0
family,grasp_outcome_uncertain,unsafe_abort,0
family,grasp_outcome_uncertain,visual_state_error,0
family,nominal,execution_drift,2
family,nominal,grasp_outcome_uncertain,0
family,nominal,nominal,92
family,nominal,unsafe_abort,0
family,nominal,visual_state_error,0
family,unsafe_abort,execution_drift,0
family,unsafe_abort,grasp_outcome_uncertain,0
family,unsafe_abort,nominal,0
family,unsafe_abort,unsafe_abort,7
family,unsafe_abort,visual_state_error,0
family,visual_state_error,execution_drift,0
family,visual_state_error,grasp_outcome_uncertain,0
family,visual_state_error,nominal,0
family,visual_state_error,unsafe_abort,0
family,visual_state_error,visual_state_error,16
route,abort_candidate,abort_candidate,5
route,abort_candidate,auto_execute,0
route,abort_candidate,auto_recovery,0
route,abort_candidate,human_review,0
route,auto_execute,abort_candidate,2
route,auto_execute,auto_execute,92
route,auto_execute,auto_recovery,2
route,auto_execute,human_review,0
route,auto_recovery,abort_candidate,6
route,auto_recovery,auto_execute,8
route,auto_recovery,auto_recovery,47
route,auto_recovery,human_review,0
route,human_review,abort_candidate,0
route,human_review,auto_execute,0
route,human_review,auto_recovery,0
route,human_review,human_review,36
