suite,task,failure,controller,seed,episode,route,route_reason,success,final_distance,steps,max_triage_risk,first_action_anomaly_step,first_grasp_uncertain_step,first_perception_uncertain_step,first_review_step,first_abort_step,first_monitor_trigger_step,first_success_step,monitor_triggers,recovery_phase_replans,recovery_override_rate,unsafe_warning_events,unsafe_abort,min_danger_distance,source,trigger_mode,return,initial_distance,min_distance,distance_reduction,risk_event_rate,recovery_replans,visual_reestimate_triggers,family,first_action_anomaly_observed,first_grasp_uncertain_observed,first_perception_uncertain_observed,first_review_observed,first_abort_observed,pc1,pc2,split
standard_corruptions,NeedlePick,action_dropout,clean,43000,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0210823226468185,44,2.25,,,,,,,43.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3789430874190094,-0.06869334287094978,train_even_seed
standard_corruptions,NeedlePick,action_dropout,clean,43001,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0220062874458691,36,2.25,,,,,,,35.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.424026149542197,-0.05184331213916096,test_odd_seed
standard_corruptions,NeedlePick,action_dropout,clean,43002,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0211041973088774,42,2.25,,,,,,,41.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.3910194796761848,-0.06399327274147912,train_even_seed
standard_corruptions,NeedlePick,action_dropout,clean,43003,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0178893382398011,41,2.25,,,,,,,40.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4094851376512463,-0.05412218170435533,test_odd_seed
standard_corruptions,NeedlePick,action_dropout,clean,43004,0,auto_execute,clean_reference_no_action_anomaly,1.0,0.0159348329772258,37,2.25,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,1.0,triage_routes,,,,,,,,,nominal,0.0,0.0,0.0,0.0,0.0,-1.4413362482703862,-0.040063041704107384,train_even_seed
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43000,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0210995030053168,45,2.6875,1.0,,,,,1.0,44.0,2.0,0.0,0.9555555555555556,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-1.012840855831259,2.116161363887932,train_even_seed
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43001,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0201008439596367,79,2.875,3.0,,,,,3.0,78.0,3.0,1.0,0.9367088607594936,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.3853022068700059,3.5104975349752947,test_odd_seed
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43002,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0238176560888123,85,2.78125,2.0,,,,,2.0,84.0,3.0,1.0,0.8823529411764706,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.36394270556604297,3.4214281355089953,train_even_seed
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43003,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0226079866191656,83,2.78125,2.0,,,,,2.0,82.0,3.0,1.0,0.9036144578313252,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.38104437914991607,3.456743241111598,test_odd_seed
standard_corruptions,NeedlePick,action_dropout,monitor_corrected,43004,0,auto_recovery,reversible_action_or_execution_anomaly,1.0,0.0202460852769509,79,2.96875,4.0,,,,,4.0,78.0,3.0,1.0,0.9240506329113924,0.0,0.0,1.0,triage_routes,,,,,,,,,execution_drift,1.0,0.0,0.0,0.0,0.0,-0.3544162335398184,3.4888640400947066,train_even_seed
