label_type,label,support,precision,recall,f1
family,execution_drift,61,0.9574468085106383,0.7377049180327869,0.8333333333333334
family,grasp_outcome_uncertain,20,1.0,1.0,1.0
family,nominal,94,0.92,0.9787234042553191,0.9484536082474226
family,unsafe_abort,7,0.4666666666666667,1.0,0.6363636363636364
family,visual_state_error,16,1.0,1.0,1.0
family,overall_accuracy,198,0.9090909090909091,0.9090909090909091,0.9090909090909091
route,abort_candidate,5,0.38461538461538464,1.0,0.5555555555555556
route,auto_execute,96,0.92,0.9583333333333334,0.9387755102040817
route,auto_recovery,61,0.9591836734693877,0.7704918032786885,0.8545454545454545
route,human_review,36,1.0,1.0,1.0
route,overall_accuracy,198,0.9090909090909091,0.9090909090909091,0.9090909090909091
