policy,task,failure,controller,episodes,seeds,success_mean,final_distance_mean,triggers_mean,visual_reestimate_triggers_mean,steps_mean
oracle_override,GauzeRetrieve,depth_scale_error,clean,5,5,1.0,0.01256477131133138,0.0,,34.6
oracle_override,GauzeRetrieve,depth_scale_error,monitor_corrected,5,5,0.0,0.2645450167650504,0.0,,180.0
oracle_override,GauzeRetrieve,depth_scale_error,perturbed,5,5,0.0,0.2645450167650504,0.0,,180.0
review_reestimate,GauzeRetrieve,depth_scale_error,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
review_reestimate,GauzeRetrieve,depth_scale_error,monitor_corrected,5,5,1.0,0.01251812428274934,1.0,1.0,34.6
review_reestimate,GauzeRetrieve,depth_scale_error,perturbed,5,5,0.0,0.2645450167650504,0.0,0.0,180.0
oracle_override,GauzeRetrieve,near_target_drift,clean,5,5,1.0,0.01256477131133138,0.0,,34.6
oracle_override,GauzeRetrieve,near_target_drift,monitor_corrected,5,5,1.0,0.011356316250404019,1.0,,34.6
oracle_override,GauzeRetrieve,near_target_drift,perturbed,5,5,0.0,0.04554713630979006,0.0,,180.0
oracle_override,GauzeRetrieve,none,clean,5,5,1.0,0.01256477131133138,0.0,,34.6
oracle_override,GauzeRetrieve,none,monitor_corrected,5,5,1.0,0.01251812428274934,0.0,,34.6
review_reestimate,GauzeRetrieve,none,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
review_reestimate,GauzeRetrieve,none,monitor_corrected,5,5,1.0,0.01251812428274934,0.0,0.0,34.6
oracle_override,GauzeRetrieve,perception_bias,clean,5,5,1.0,0.01256477131133138,0.0,,34.6
oracle_override,GauzeRetrieve,perception_bias,monitor_corrected,5,5,0.0,0.26451362332775097,0.0,,180.0
oracle_override,GauzeRetrieve,perception_bias,perturbed,5,5,0.0,0.26451362332775097,0.0,,180.0
review_reestimate,GauzeRetrieve,perception_bias,clean,5,5,1.0,0.01256477131133138,0.0,0.0,34.6
review_reestimate,GauzeRetrieve,perception_bias,monitor_corrected,5,5,1.0,0.01251812428274934,1.0,1.0,34.6
review_reestimate,GauzeRetrieve,perception_bias,perturbed,5,5,0.0,0.26451362332775097,0.0,0.0,180.0
oracle_override,NeedlePick,depth_scale_error,clean,5,5,1.0,0.01960339572371838,0.0,,40.0
oracle_override,NeedlePick,depth_scale_error,monitor_corrected,5,5,0.0,0.2332736165998651,1.6,,180.0
oracle_override,NeedlePick,depth_scale_error,perturbed,5,5,0.0,0.218395370927013,0.0,,180.0
review_reestimate,NeedlePick,depth_scale_error,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
review_reestimate,NeedlePick,depth_scale_error,monitor_corrected,5,5,1.0,0.019603309080838897,1.0,1.0,40.0
review_reestimate,NeedlePick,depth_scale_error,perturbed,5,5,0.0,0.218395370927013,0.0,0.0,180.0
oracle_override,NeedlePick,near_target_drift,clean,5,5,1.0,0.01960339572371838,0.0,,40.0
oracle_override,NeedlePick,near_target_drift,monitor_corrected,5,5,1.0,0.01880614528618026,1.0,,39.8
oracle_override,NeedlePick,near_target_drift,perturbed,5,5,0.2,0.09559785809757501,0.0,,151.0
oracle_override,NeedlePick,none,clean,5,5,1.0,0.01960339572371838,0.0,,40.0
oracle_override,NeedlePick,none,monitor_corrected,5,5,1.0,0.019603309080838897,0.0,,40.0
review_reestimate,NeedlePick,none,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
review_reestimate,NeedlePick,none,monitor_corrected,5,5,1.0,0.019603309080838897,0.0,0.0,40.0
oracle_override,NeedlePick,perception_bias,clean,5,5,1.0,0.01960339572371838,0.0,,40.0
oracle_override,NeedlePick,perception_bias,monitor_corrected,5,5,0.0,0.2263655642224026,1.6,,180.0
oracle_override,NeedlePick,perception_bias,perturbed,5,5,0.0,0.22600370521652327,0.0,,180.0
review_reestimate,NeedlePick,perception_bias,clean,5,5,1.0,0.01960339572371838,0.0,0.0,40.0
review_reestimate,NeedlePick,perception_bias,monitor_corrected,5,5,1.0,0.019603309080838897,1.0,1.0,40.0
review_reestimate,NeedlePick,perception_bias,perturbed,5,5,0.0,0.22600370521652327,0.0,0.0,180.0
