suite,task,failure,controller,route,route_reason,episodes,seeds,success_mean,final_distance_mean,max_triage_risk_mean,first_review_step_mean,first_abort_step_mean,monitor_triggers_mean,recovery_phase_replans_mean,recovery_override_rate_mean
observable_jaw_stuck_10seed,GauzeRetrieve,jaw_stuck_open,clean,auto_execute,clean_reference_no_action_anomaly,10,10,1.0,0.01343583591548558,3.0375,,,0.0,0.0,0.0
observable_jaw_stuck_10seed,GauzeRetrieve,jaw_stuck_open,monitor_corrected,human_review,grasp_outcome_uncertain,10,10,1.0,0.01415772823412951,3.75,30.0,30.0,3.0,2.0,0.9410599883517762
observable_jaw_stuck_10seed,GauzeRetrieve,jaw_stuck_open,perturbed,human_review,grasp_outcome_uncertain,10,10,0.0,0.2742171009321278,3.75,30.0,30.0,0.0,0.0,0.0
observable_jaw_stuck_10seed,GauzeRetrieve,none,clean,auto_execute,clean_reference_no_action_anomaly,10,10,1.0,0.01343583591548558,3.0375,,,0.0,0.0,0.0
observable_jaw_stuck_10seed,GauzeRetrieve,none,monitor_corrected,auto_execute,nominal_no_alarm,10,10,1.0,0.013439772129727351,3.009375,,,1.0,0.0,0.826524064171123
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,clean,auto_execute,clean_reference_no_action_anomaly,10,10,1.0,0.02020484421171876,2.25,,,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,monitor_corrected,human_review,grasp_outcome_uncertain,10,10,1.0,0.02022077072390433,3.75,34.7,34.7,3.0,1.7,0.9350909419488902
observable_jaw_stuck_10seed,NeedlePick,jaw_stuck_open,perturbed,human_review,grasp_outcome_uncertain,10,10,0.0,0.207240510059001,3.75,34.7,34.7,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,none,clean,auto_execute,clean_reference_no_action_anomaly,10,10,1.0,0.02020484421171876,2.25,,,0.0,0.0,0.0
observable_jaw_stuck_10seed,NeedlePick,none,monitor_corrected,auto_execute,nominal_no_alarm,10,10,1.0,0.02020489016626879,2.25,,,1.1,0.0,0.8039655644957872
standard_corruptions,GauzeRetrieve,action_dropout,clean,auto_execute,clean_reference_no_action_anomaly,5,5,1.0,0.01256477131133138,2.25,,,0.0,0.0,0.0
