task,severity,severity_rank,failure,seeds,clean_success,perturbed_success,monitor_success,perturbed_final_distance,monitor_final_distance,mean_triggers,override_rate
GauzeRetrieve,low,0,depth_scale_error,5,1.0,0.0,0.0,0.26849364894895955,0.2679288987302261,2.0,0.1622222222222222
GauzeRetrieve,medium,1,depth_scale_error,5,1.0,0.0,0.0,0.2645450167650504,0.2645450167650504,0.0,0.0
GauzeRetrieve,high,2,depth_scale_error,5,1.0,0.0,0.0,0.2646802484178675,0.2646802484178675,0.0,0.0
NeedlePick,low,0,depth_scale_error,5,1.0,0.0,0.0,0.21883341275127527,0.21313091874070889,0.4,0.03555555555555554
NeedlePick,medium,1,depth_scale_error,5,1.0,0.0,0.0,0.218395370927013,0.2332736165998651,1.6,0.14111111111111113
NeedlePick,high,2,depth_scale_error,5,1.0,0.0,0.0,0.20466582960968513,0.20421684582377447,0.2,0.01777777777777776
GauzeRetrieve,low,0,near_target_drift,5,1.0,1.0,1.0,0.01839022418090446,0.01839022418090446,0.0,0.0
GauzeRetrieve,medium,1,near_target_drift,5,1.0,0.0,1.0,0.04554713630979006,0.011356316250404019,1.0,0.057835497835497796
GauzeRetrieve,high,2,near_target_drift,5,1.0,0.0,1.0,0.10453878712909023,0.011318486384957801,1.0,0.057835497835497796
NeedlePick,low,0,near_target_drift,5,1.0,0.2,0.2,0.028373528432426482,0.028373528432426482,0.0,0.0
NeedlePick,medium,1,near_target_drift,5,1.0,0.2,1.0,0.09559785809757501,0.01880614528618026,1.0,0.07521205082180688
NeedlePick,high,2,near_target_drift,5,1.0,0.0,1.0,0.12279469192351981,0.01879338862987948,1.0,0.07521205082180688
GauzeRetrieve,low,0,perception_bias,5,1.0,1.0,1.0,0.01296178944495836,0.01296178944495836,0.0,0.0
GauzeRetrieve,medium,1,perception_bias,5,1.0,0.0,0.0,0.26451362332775097,0.26451362332775097,0.0,0.0
GauzeRetrieve,high,2,perception_bias,5,1.0,0.0,0.0,0.26463437230855325,0.26463437230855325,0.0,0.0
NeedlePick,low,0,perception_bias,5,1.0,0.6,0.6,0.08658261085085228,0.08658261085085228,0.0,0.0
NeedlePick,medium,1,perception_bias,5,1.0,0.0,0.0,0.22600370521652327,0.2263655642224026,1.6,0.1388888888888889
NeedlePick,high,2,perception_bias,5,1.0,0.0,0.0,0.2242120740845041,0.22248377390281865,0.4,0.03555555555555554
